Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9006934,"Signaling by Receptor Tyrosine Kinases",31,634,0.039012983816380534,3.86120421747016E-7,4.467413279612975E-4,181,759,0.04717508856983032,9606,Homo sapiens,"LAMA5;EGR2;LAMB2;ROCK2;STAT1;TNK2;PRKCE;SRF;ITPR1;PTPRK;ESR1;PTPRF;EGFR;MAPK13;NCSTN;PPP2R1A;GRB10;COL6A3;PTK2B;KRAS;TRIB3;FGFR2","","R-HSA-177922;R-HSA-5654614;R-HSA-177923;R-HSA-5654615;R-HSA-171011;R-HSA-8848005;R-HSA-5654612;R-HSA-6785636;R-HSA-1295632;R-HSA-177926;R-HSA-177927;R-HSA-177924;R-HSA-5654608;R-HSA-177925;R-HSA-177930;R-HSA-9613210;R-HSA-5654622;R-HSA-183051;R-HSA-5654620;R-HSA-9032067;R-HSA-177934;R-HSA-5654618;R-HSA-177935;R-HSA-183055;R-HSA-177933;R-HSA-9613213;R-HSA-177938;R-HSA-183058;R-HSA-171026;R-HSA-177939;R-HSA-177936;R-HSA-9612672;R-HSA-177937;R-HSA-177942;R-HSA-199959;R-HSA-177943;R-HSA-1295622;R-HSA-9603719;R-HSA-177941;R-HSA-6785648;R-HSA-183067;R-HSA-5654607;R-HSA-177944;R-HSA-177945;R-HSA-5654605;R-HSA-5654603;R-HSA-5654600;R-HSA-1963581;R-HSA-5654647;R-HSA-183072;R-HSA-8851877;R-HSA-1963582;R-HSA-9036970;R-HSA-1963578;R-HSA-5654399;R-HSA-1470012;R-HSA-5654397;R-HSA-1470010;R-HSA-183084;R-HSA-5654392;R-HSA-1470009;R-HSA-190258;R-HSA-9613219;R-HSA-183089;R-HSA-9031610;R-HSA-1963563;R-HSA-9613476;R-HSA-190260;R-HSA-8851899;R-HSA-1306963;R-HSA-1251922;R-HSA-9031624;R-HSA-5218830;R-HSA-5218826;R-HSA-1306965;R-HSA-9031616;R-HSA-8951490;R-HSA-1306972;R-HSA-9612509;R-HSA-9612483;R-HSA-5218845;R-HSA-1963589;R-HSA-5218836;R-HSA-1250383;R-HSA-1306957;R-HSA-1963586;R-HSA-9612493;R-HSA-8867047;R-HSA-5686071;R-HSA-382054;R-HSA-8867044;R-HSA-9612534;R-HSA-1433456;R-HSA-8867041;R-HSA-1433471;R-HSA-380782;R-HSA-5218851;R-HSA-9612514;R-HSA-5654562;R-HSA-9612516;R-HSA-5686318;R-HSA-1977959;R-HSA-1251944;R-HSA-3928647;R-HSA-9842665;R-HSA-1250195;R-HSA-109699;R-HSA-109700;R-HSA-1433501;R-HSA-1250463;R-HSA-1251997;R-HSA-5228992;R-HSA-934559;R-HSA-9851407;R-HSA-8864029;R-HSA-5654729;R-HSA-1250486;R-HSA-8941613;R-HSA-8934446;R-HSA-1250488;R-HSA-9674531;R-HSA-8941628;R-HSA-8941618;R-HSA-110011;R-HSA-8863804;R-HSA-182969;R-HSA-9612073;R-HSA-5218804;R-HSA-9612076;R-HSA-8941623;R-HSA-9026891;R-HSA-5654677;R-HSA-182986;R-HSA-190408;R-HSA-182990;R-HSA-5654426;R-HSA-190413;R-HSA-182994;R-HSA-5654406;R-HSA-186834;R-HSA-1250498;R-HSA-5654407;R-HSA-169683;R-HSA-5654663;R-HSA-5654404;R-HSA-74707;R-HSA-169680;R-HSA-182993;R-HSA-5654402;R-HSA-5654147;R-HSA-8954207;R-HSA-183002;R-HSA-8874079;R-HSA-5654159;R-HSA-5654157;R-HSA-5654413;R-HSA-8954199;R-HSA-212706;R-HSA-1254386;R-HSA-212710;R-HSA-8954208;R-HSA-170986;R-HSA-212713;R-HSA-1295609;R-HSA-1254392;R-HSA-1549564;R-HSA-74733;R-HSA-9612671;R-HSA-8864105;R-HSA-109807;R-HSA-1295613;R-HSA-198640;R-HSA-8851827;R-HSA-74740;R-HSA-109817;R-HSA-8864125;R-HSA-5654701;R-HSA-8847995;R-HSA-1295599;R-HSA-183036;R-HSA-5654697"
R-HSA-1226099,"Signaling by FGFR in disease",10,82,0.005045843332717986,2.6069078132850976E-6,0.0015067927160787864,47,99,0.006153272422151781,9606,Homo sapiens,"BCR;STAT1;KRAS;FGFR2","","R-HSA-8853319;R-HSA-2029983;R-HSA-1839065;R-HSA-8853313;R-HSA-1839067;R-HSA-5655326;R-HSA-5654748;R-HSA-5655323;R-HSA-2033490;R-HSA-5655320;R-HSA-8853320;R-HSA-2033488;R-HSA-2033486;R-HSA-5655301;R-HSA-1839112;R-HSA-1839114;R-HSA-5655233;R-HSA-2033479;R-HSA-1839110;R-HSA-1888198;R-HSA-5655245;R-HSA-2033474;R-HSA-2067713;R-HSA-1839107;R-HSA-5655241;R-HSA-2033472;R-HSA-1839100;R-HSA-1839102;R-HSA-1839039;R-HSA-5655347;R-HSA-1839098;R-HSA-1839094;R-HSA-1839031;R-HSA-1839095;R-HSA-1839091;R-HSA-2077424;R-HSA-5655268;R-HSA-1839080;R-HSA-2029992;R-HSA-5655343;R-HSA-8851710;R-HSA-1839078;R-HSA-2029988;R-HSA-2029989;R-HSA-5655277;R-HSA-5655339;R-HSA-2029984"
R-HSA-5655253,"Signaling by FGFR2 in disease",8,58,0.003569011137776137,1.1002315513208849E-5,0.004235891472585407,27,28,0.0017403194729318167,9606,Homo sapiens,"KRAS;FGFR2","","R-HSA-8853319;R-HSA-2029983;R-HSA-8853313;R-HSA-5654748;R-HSA-5655323;R-HSA-2033490;R-HSA-5655320;R-HSA-8853320;R-HSA-2033488;R-HSA-2033486;R-HSA-5655301;R-HSA-5655233;R-HSA-2033479;R-HSA-5655245;R-HSA-2033474;R-HSA-2067713;R-HSA-5655241;R-HSA-2033472;R-HSA-2077424;R-HSA-5655268;R-HSA-2029992;R-HSA-5655343;R-HSA-8851710;R-HSA-2029988;R-HSA-2029989;R-HSA-5655339;R-HSA-2029984"
R-HSA-5654699,"SHC-mediated cascade:FGFR2",6,33,0.0020306442680450435,3.111781468201347E-5,0.006140803880917423,4,4,2.486170675616881E-4,9606,Homo sapiens,"KRAS;FGFR2","","R-HSA-5654406;R-HSA-5654407;R-HSA-5654404;R-HSA-5654402"
R-HSA-5663202,"Diseases of signal transduction by growth factor receptors and second messengers",24,536,0.032982585687034646,3.456224420750331E-5,0.006140803880917423,189,516,0.03207160171545777,9606,Homo sapiens,"KSR1;STAT1;RRBP1;ESR1;DUSP9;EGFR;BCR;NCSTN;DUSP10;PPP2R1A;PIM1;KRAS;FGFR2","","R-HSA-9656211;R-HSA-9656209;R-HSA-1218833;R-HSA-9656215;R-HSA-9664918;R-HSA-9656214;R-HSA-9656213;R-HSA-9656212;R-HSA-4839746;R-HSA-1226014;R-HSA-1226012;R-HSA-1220610;R-HSA-9665411;R-HSA-5339713;R-HSA-1248002;R-HSA-1220611;R-HSA-9665410;R-HSA-9665409;R-HSA-9665408;R-HSA-1839112;R-HSA-1220614;R-HSA-9665415;R-HSA-1839114;R-HSA-1220612;R-HSA-9665413;R-HSA-1220613;R-HSA-1839110;R-HSA-9665417;R-HSA-9665416;R-HSA-1169421;R-HSA-2067713;R-HSA-1839107;R-HSA-9664950;R-HSA-2400009;R-HSA-9665699;R-HSA-9665698;R-HSA-9665697;R-HSA-1226016;R-HSA-9665701;R-HSA-9664933;R-HSA-9665700;R-HSA-9665707;R-HSA-9665706;R-HSA-9665705;R-HSA-9665704;R-HSA-9665709;R-HSA-9664940;R-HSA-9664976;R-HSA-9664983;R-HSA-6803234;R-HSA-6803233;R-HSA-5655326;R-HSA-9664991;R-HSA-9672159;R-HSA-5655323;R-HSA-2033490;R-HSA-5655320;R-HSA-2033488;R-HSA-6803240;R-HSA-2033486;R-HSA-5655301;R-HSA-2033479;R-HSA-2033474;R-HSA-2033472;R-HSA-9665009;R-HSA-9672176;R-HSA-5655347;R-HSA-8936676;R-HSA-9672163;R-HSA-1247842;R-HSA-1247841;R-HSA-1247844;R-HSA-5655343;R-HSA-8851710;R-HSA-9672170;R-HSA-6803230;R-HSA-9665000;R-HSA-6803227;R-HSA-5655339;R-HSA-4839734;R-HSA-6802919;R-HSA-2029983;R-HSA-6802918;R-HSA-9670417;R-HSA-6802916;R-HSA-9670416;R-HSA-6802915;R-HSA-9703441;R-HSA-6802914;R-HSA-6802912;R-HSA-6802926;R-HSA-9670426;R-HSA-5654748;R-HSA-6802925;R-HSA-6802924;R-HSA-6802922;R-HSA-6802921;R-HSA-6802935;R-HSA-9851142;R-HSA-6802934;R-HSA-6802933;R-HSA-8936731;R-HSA-6802932;R-HSA-5655233;R-HSA-6802943;R-HSA-9703436;R-HSA-9665034;R-HSA-6802942;R-HSA-6802941;R-HSA-4839635;R-HSA-9665032;R-HSA-5655245;R-HSA-4839634;R-HSA-1248655;R-HSA-2220988;R-HSA-6802937;R-HSA-5655241;R-HSA-4839638;R-HSA-9670412;R-HSA-1839039;R-HSA-9664567;R-HSA-4791278;R-HSA-1839031;R-HSA-5638137;R-HSA-5655268;R-HSA-4827388;R-HSA-1248677;R-HSA-2029992;R-HSA-9670436;R-HSA-6802911;R-HSA-6802910;R-HSA-2029988;R-HSA-2029989;R-HSA-5655277;R-HSA-6802908;R-HSA-2029984;R-HSA-8853319;R-HSA-9700181;R-HSA-9652816;R-HSA-9651280;R-HSA-1839065;R-HSA-8853313;R-HSA-1839067;R-HSA-9700179;R-HSA-1225947;R-HSA-1225950;R-HSA-1225951;R-HSA-1225949;R-HSA-8853320;R-HSA-5637766;R-HSA-5637764;R-HSA-5637765;R-HSA-1888198;R-HSA-5637770;R-HSA-9664588;R-HSA-1839100;R-HSA-9634418;R-HSA-1839102;R-HSA-1839098;R-HSA-5637808;R-HSA-1225978;R-HSA-1839094;R-HSA-1839095;R-HSA-1247999;R-HSA-9665407;R-HSA-9665406;R-HSA-1839091;R-HSA-9665404;R-HSA-2077424;R-HSA-5637798;R-HSA-5637796;R-HSA-1225952;R-HSA-6802837;R-HSA-1839080;R-HSA-5637794;R-HSA-5637795;R-HSA-6802834;R-HSA-5637792;R-HSA-1225956;R-HSA-1225957;R-HSA-5637806;R-HSA-1839078;R-HSA-1225960;R-HSA-1225961;R-HSA-5637800;R-HSA-9665389;R-HSA-9695853;R-HSA-5637801;R-HSA-9665388"
R-HSA-5654700,"FRS-mediated FGFR2 signaling",6,34,0.0020921789428342873,3.668116551458489E-5,0.006140803880917423,9,9,5.593884020137983E-4,9606,Homo sapiens,"KRAS;FGFR2","","R-HSA-5654615;R-HSA-5654608;R-HSA-5654607;R-HSA-5654399;R-HSA-8941618;R-HSA-5654605;R-HSA-5654397;R-HSA-5654618;R-HSA-5654603"
R-HSA-9009391,"Extra-nuclear estrogen signaling",10,112,0.006891883576395298,3.721699321768135E-5,0.006140803880917423,24,39,0.002424016408726459,9606,Homo sapiens,"GNB2;SRF;GNB3;KRAS;ESR1;EGFR;GNAI2","","R-HSA-9021609;R-HSA-9624272;R-HSA-9625814;R-HSA-9632918;R-HSA-9632182;R-HSA-9021068;R-HSA-9633044;R-HSA-9021601;R-HSA-9021600;R-HSA-9634584;R-HSA-9625465;R-HSA-9632412;R-HSA-9021050;R-HSA-9021596;R-HSA-9021660;R-HSA-9625479;R-HSA-9625482;R-HSA-9632906;R-HSA-9021072;R-HSA-9021170;R-HSA-9632910;R-HSA-9625487;R-HSA-9021079;R-HSA-9027670"
R-HSA-74751,"Insulin receptor signalling cascade",8,72,0.004430496584825549,5.0255405059096425E-5,0.007236778328509885,7,25,0.0015538566722605508,9606,Homo sapiens,"GRB10;TRIB3;KRAS;FGFR2","","R-HSA-109699;R-HSA-74707;R-HSA-74740;R-HSA-109700;R-HSA-109817;R-HSA-110011;R-HSA-109807"
R-HSA-199418,"Negative regulation of the PI3K/AKT network",11,145,0.008922527844440342,6.56823598141898E-5,0.008407342056216294,6,10,6.215426689042203E-4,9606,Homo sapiens,"IRAK1;PPP2R1A;TRIB3;ESR1;FGFR2;EGFR","","R-HSA-199443;R-HSA-2316434;R-HSA-8857925;R-HSA-6811472;R-HSA-6811504;R-HSA-6811454"
R-HSA-8851708,"Signaling by FGFR2 IIIa TM",5,24,0.0014768321949418497,7.665056466621412E-5,0.008814814936614623,2,2,1.2430853378084405E-4,9606,Homo sapiens,"FGFR2","","R-HSA-8851710;R-HSA-8853320"
